lat,lng,densityTier,keyword,categoryId,storeId
37.349922,127.305604,1,컬리,4,141755
35.598126,126.764026,1,치과의원,3,2339187
36.540226,128.467546,1,약국,1,925754
37.086096,126.911591,2,컬리,2,123526
35.913449,128.638584,2,치과의원,1,1136065
37.356863,127.944509,2,약국,1,692
34.801593,126.702712,3,컬리,4,2202214
35.579298,126.853099,3,치과의원,2,2300271
37.510660,126.866335,3,약국,4,1478177
37.411403,126.667697,4,컬리,3,2070296
37.538984,126.892204,4,치과의원,2,1480468
36.455618,126.800126,4,약국,6,2451299
37.519804,126.731522,5,컬리,1,2070167
37.620708,127.019409,5,치과의원,2,1479057
37.492647,127.487867,5,약국,1,105876
37.303823,126.973218,6,컬리,3,107817
37.544150,126.938753,6,치과의원,1,1480347
35.860333,128.636125,6,약국,1,1136246
35.102106,129.031864,7,컬리,2,1325697
37.416033,127.126325,7,치과의원,5,106976
37.541483,127.067706,7,약국,2,179
37.899613,127.463979,1,커피빈,3,268591
36.595280,128.648450,1,횟집,3,929266
35.087443,126.844620,1,카페,5,1065726
36.774683,127.078614,2,커피빈,2,2452230
34.910528,126.426128,2,횟집,1,2202346
36.605284,126.554460,2,카페,1,2452428
34.969650,127.483878,3,커피빈,1,2202184
37.145618,128.213135,3,횟집,4,2570391
37.637006,127.064978,3,카페,6,1480119
35.966161,128.941545,4,커피빈,4,924110
37.588271,127.148129,4,횟집,3,106263
37.282907,126.815587,4,카페,4,116868
35.229377,129.005161,5,커피빈,6,1325943
37.332659,126.814881,5,횟집,4,106567
37.409107,126.908189,5,카페,4,105548
33.476909,126.489172,6,커피빈,4,2395214
35.165917,128.973865,6,횟집,2,1325592
37.502162,127.107058,6,카페,1,1478672
37.595364,127.019184,7,커피빈,4,1477888
